State,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Georgia,2903.000,2903.000,2910.000,2924.000,2935.000,2950.000,2964.000,2955.000,2978.000,3037.000,3091.000,3120.000,3119.000,3179.000,3209.000,3245.000,3176.000,3119.000,3242.000,3272.000,3259.000,3325.000,3458.000,3531.000,3584.000,3558.000,3602.000,3636.000,3701.000,3766.000,3804.000,3868.000,3956.000,4015.000,4086.000,4172.000,4258.000,4332.000,4379.000,4408.000,4482.000,4551.000,4587.930,4711.550,4809.490,4910.374,4999.419,5064.075,5132.812,5219.697,5295.751,5401.384,5486.174,5568.345,5649.792,5728.250,5834.954,5962.661,6084.666,6208.467,6316.142,6411.099,6506.531,6621.279,6759.474,6894.092,7045.900,7188.538,7332.225,7486.094,7636.522,7788.240,8227.303,8377.038,8508.256,8622.793,8769.252,8925.922,9155.813,9349.988,9504.843,9620.846,9712.209,9803.630,9903.580
Hawaii,,,,,,,,,,,,,,,,,,,,,,,498.000,514.000,517.000,510.000,505.000,539.000,559.000,584.000,605.000,622.000,642.000,659.000,684.000,682.000,700.000,704.000,710.000,723.000,734.000,750.000,769.913,801.644,828.331,851.595,867.978,886.160,904.191,918.259,931.584,953.306,967.710,978.195,993.780,1012.717,1027.922,1039.698,1051.762,1067.918,1079.828,1094.588,1112.703,1131.412,1149.926,1161.508,1173.903,1180.490,1184.434,1189.322,1190.472,1185.497,1213.519,1225.948,1239.613,1251.154,1273.569,1292.729,1309.731,1315.675,1332.213,1346.717,1364.004,1379.562,1395.199
Idaho,449.000,447.000,447.000,454.000,459.000,464.000,473.000,481.000,495.000,507.000,513.000,521.000,522.000,501.000,478.000,500.000,529.000,507.000,509.000,522.000,551.000,570.000,590.000,589.000,587.000,596.000,600.000,618.000,628.000,642.000,646.000,657.000,671.000,684.000,692.000,683.000,680.000,686.000,689.000,688.000,695.000,707.000,713.015,738.753,763.237,782.074,807.990,831.982,856.983,883.469,910.690,932.627,947.983,962.204,973.721,981.869,990.839,994.051,990.224,984.997,985.664,994.416,1011.882,1038.915,1066.490,1101.204,1135.459,1165.000,1187.706,1210.638,1230.923,1251.700,1299.430,1319.962,1340.372,1363.380,1391.802,1428.241,1468.669,1505.105,1534.320,1554.439,1570.819,1584.272,1595.910
Illinois,7576.000,7606.000,7644.000,7687.000,7736.000,7768.000,7772.000,7797.000,7840.000,7857.000,7866.000,7890.000,7905.000,7995.000,8057.000,7761.000,7719.000,7601.000,8155.000,8341.000,8552.000,8670.000,8738.000,8790.000,8956.000,9065.000,9252.000,9435.000,9530.000,9668.000,9886.000,9986.000,10086.000,10130.000,10280.000,10402.000,10580.000,10693.000,10836.000,10947.000,10995.000,11039.000,11110.285,11202.397,11251.948,11251.367,11262.145,11291.743,11342.853,11386.316,11412.561,11396.837,11434.702,11443.458,11423.412,11408.818,11412.132,11399.806,11387.257,11391.178,11390.183,11409.782,11446.979,11535.973,11635.197,11725.984,11804.986,11884.935,11953.003,12011.509,12069.774,12128.370,12434.161,12488.445,12525.556,12556.006,12589.773,12609.903,12643.955,12695.866,12747.038,12796.778,12840.545,12867.783,12883.029
Indiana,3212.000,3226.000,3242.000,3257.000,3281.000,3304.000,3319.000,3332.000,3348.000,3374.000,3386.000,3403.000,3433.000,3483.000,3507.000,3449.000,3440.000,3427.000,3702.000,3779.000,3877.000,3958.000,3967.000,4096.000,4148.000,4182.000,4264.000,4363.000,4458.000,4529.000,4583.000,4613.000,4674.000,4730.000,4736.000,4799.000,4856.000,4922.000,4999.000,5053.000,5093.000,5143.000,5195.392,5253.396,5302.435,5338.277,5361.890,5365.766,5389.088,5425.638,5470.214,5501.174,5490.721,5480.435,5467.922,5450.395,5458.322,5459.211,5454.108,5473.012,5491.735,5523.693,5555.097,5602.062,5648.649,5701.965,5745.626,5791.819,5834.908,5872.370,5907.617,5942.901,6091.866,6127.760,6155.967,6196.638,6233.007,6278.616,6332.669,6379.599,6424.806,6459.325,6490.555,6517.250,6538.989
Iowa,2450.000,2460.000,2475.000,2482.000,2489.000,2495.000,2510.000,2524.000,2509.000,2498.000,2494.000,2520.000,2537.000,2491.000,2439.000,2334.000,2301.000,2308.000,2467.000,2509.000,2543.000,2578.000,2625.000,2617.000,2626.000,2629.000,2626.000,2679.000,2703.000,2716.000,2708.000,2729.000,2756.000,2756.000,2750.000,2747.000,2746.000,2742.000,2762.000,2793.000,2803.000,2805.000,2825.368,2851.705,2860.287,2863.715,2867.530,2880.847,2903.082,2913.573,2918.069,2915.739,2914.018,2907.983,2888.189,2870.543,2858.618,2829.684,2791.970,2767.011,2768.388,2770.592,2779.769,2791.227,2806.923,2820.525,2829.422,2840.860,2848.473,2854.396,2861.025,2869.413,2929.067,2931.997,2934.234,2941.999,2953.635,2964.454,2982.644,2999.212,3016.734,3032.870,3050.819,3066.772,3076.844
Kansas,1850.000,1867.000,1883.000,1881.000,1883.000,1877.000,1868.000,1872.000,1869.000,1856.000,1842.000,1824.000,1788.000,1765.000,1760.000,1796.000,1779.000,1731.000,1805.000,1853.000,1892.000,1925.000,1916.000,1950.000,1977.000,1994.000,2042.000,2093.000,2119.000,2128.000,2142.000,2160.000,2183.000,2215.000,2231.000,2217.000,2209.000,2206.000,2200.000,2197.000,2216.000,2236.000,2249.071,2246.600,2256.375,2265.603,2269.499,2280.578,2301.001,2320.647,2335.657,2350.906,2369.039,2384.849,2401.202,2415.531,2424.086,2427.405,2432.619,2445.367,2461.996,2472.849,2480.683,2495.209,2526.042,2547.605,2569.118,2586.942,2598.266,2616.339,2638.667,2654.052,2693.681,2702.162,2713.535,2723.004,2734.373,2745.299,2762.931,2783.785,2808.076,2832.704,2858.266,2869.677,2886.024
Kentucky,2567.000,2606.000,2623.000,2652.000,2676.000,2698.000,2722.000,2748.000,2768.000,2784.000,2800.000,2825.000,2859.000,2824.000,2797.000,2693.000,2631.000,2597.000,2761.000,2803.000,2817.000,2849.000,2936.000,2941.000,2920.000,2903.000,2902.000,2910.000,2898.000,2928.000,2961.000,2999.000,3041.000,3054.000,3079.000,3096.000,3129.000,3140.000,3147.000,3172.000,3195.000,3198.000,3220.711,3298.053,3335.728,3371.024,3416.315,3467.769,3529.257,3573.693,3609.976,3641.804,3664.221,3670.394,3683.445,3694.484,3695.453,3694.826,3687.809,3683.329,3679.999,3677.306,3692.584,3714.686,3756.358,3792.288,3823.215,3855.248,3881.051,3907.816,3934.310,3960.825,4049.021,4068.132,4089.875,4117.170,4146.101,4182.742,4219.239,4256.672,4289.878,4317.074,4348.464,4370.817,4387.865
Louisiana,2064.000,2086.000,2105.000,2124.000,2155.000,2178.000,2202.000,2228.000,2246.000,2257.000,2285.000,2334.000,2370.000,2484.000,2546.000,2565.000,2508.000,2429.000,2556.000,2579.000,2596.000,2634.000,2697.000,2769.000,2842.000,2866.000,2883.000,2946.000,3032.000,3115.000,3155.000,3208.000,3260.000,3287.000,3345.000,3377.000,3446.000,3496.000,3550.000,3581.000,3603.000,3619.000,3644.637,3710.487,3761.646,3788.375,3820.109,3886.104,3950.605,4014.459,4068.579,4137.665,4223.101,4283.303,4352.608,4395.316,4400.477,4408.118,4406.919,4344.148,4288.863,4252.894,4219.179,4240.950,4270.849,4284.749,4306.500,4327.978,4338.763,4351.390,4362.758,4372.035,4471.885,4477.875,4497.267,4521.042,4552.238,4576.628,4302.665,4375.581,4435.586,4491.648,4544.635,4576.244,4602.067
Maine,797.000,797.000,800.000,807.000,815.000,821.000,829.000,836.000,840.000,842.000,843.000,846.000,849.000,852.000,839.000,806.000,801.000,800.000,832.000,854.000,878.000,903.000,917.000,916.000,915.000,913.000,927.000,934.000,938.000,943.000,944.000,957.000,975.000,995.000,994.000,993.000,993.000,997.000,999.000,1004.000,994.000,992.000,993.722,1015.390,1034.292,1045.655,1059.040,1071.995,1088.412,1103.578,1113.566,1122.563,1126.860,1133.033,1136.684,1144.772,1155.635,1162.936,1170.126,1184.574,1203.840,1219.961,1231.296,1235.439,1235.748,1238.256,1237.687,1237.438,1241.436,1245.215,1247.554,1253.040,1277.072,1285.692,1295.960,1306.513,1313.688,1318.787,1323.619,1327.040,1330.509,1329.590,1327.651,1328.473,1328.094
Maryland,1610.000,1621.000,1636.000,1657.000,1678.000,1694.000,1710.000,1729.000,1745.000,1754.000,1766.000,1793.000,1839.000,1913.000,1998.000,2089.000,2118.000,2096.000,2214.000,2248.000,2271.000,2329.000,2355.000,2441.000,2500.000,2567.000,2685.000,2742.000,2811.000,2873.000,2982.000,3066.000,3113.000,3176.000,3263.000,3386.000,3492.000,3600.000,3695.000,3757.000,3815.000,3868.000,3923.897,4018.324,4073.499,4097.974,4118.815,4139.096,4150.539,4169.595,4183.603,4191.160,4227.643,4261.905,4282.923,4313.327,4365.243,4413.071,4486.957,4565.557,4657.904,4727.301,4797.431,4856.176,4902.545,4942.504,4985.411,5023.650,5057.142,5092.914,5130.072,5171.634,5311.034,5374.691,5440.389,5496.269,5546.935,5592.379,5627.367,5653.408,5684.965,5730.388,5788.784,5840.241,5888.375
Massachusetts,4217.000,4229.000,4250.000,4248.000,4259.000,4282.000,4305.000,4343.000,4355.000,4358.000,4365.000,4347.000,4318.000,4389.000,4370.000,4257.000,4192.000,4201.000,4494.000,4580.000,4674.000,4741.000,4686.000,4654.000,4650.000,4806.000,4910.000,4882.000,4891.000,4929.000,5010.000,5117.000,5160.000,5219.000,5263.000,5344.000,5448.000,5502.000,5535.000,5594.000,5618.000,5650.000,5689.170,5737.580,5760.302,5781.172,5773.548,5757.756,5743.672,5738.199,5736.469,5738.404,5746.075,5768.685,5771.222,5799.407,5840.773,5880.733,5902.678,5935.204,5979.982,6015.478,6018.664,5998.652,5993.474,6010.884,6031.352,6062.335,6085.393,6115.476,6144.407,6175.169,6361.104,6397.634,6417.206,6422.565,6412.281,6403.290,6410.084,6431.559,6468.967,6517.613,6566.440,6614.218,6664.269
Michigan,4665.000,4795.000,4834.000,4798.000,4780.000,4780.000,4798.000,4838.000,4889.000,4968.000,5056.000,5156.000,5315.000,5472.000,5549.000,5405.000,5467.000,5475.000,5874.000,6076.000,6213.000,6332.000,6407.000,6497.000,6650.000,6822.000,7066.000,7285.000,7467.000,7569.000,7667.000,7767.000,7834.000,7893.000,7933.000,8058.000,8187.000,8357.000,8512.000,8630.000,8696.000,8781.000,8881.826,8974.186,9028.944,9077.956,9117.507,9117.668,9129.205,9171.110,9217.761,9266.268,9255.553,9209.287,9115.198,9047.754,9049.452,9076.293,9127.775,9187.481,9217.998,9253.295,9310.462,9395.022,9470.323,9529.240,9584.481,9659.871,9739.184,9785.450,9820.231,9863.775,9952.450,9991.120,10015.710,10041.152,10055.315,10051.137,10036.081,10001.284,9946.889,9901.591,9877.597,9883.053,9898.289
Minnesota,2592.000,2572.000,2576.000,2614.000,2646.000,2673.000,2695.000,2717.000,2734.000,2746.000,2753.000,2771.000,2790.000,2718.000,2662.000,2577.000,2526.000,2537.000,2734.000,2796.000,2868.000,2935.000,2997.000,3010.000,3030.000,3050.000,3113.000,3172.000,3240.000,3274.000,3313.000,3366.000,3425.000,3470.000,3513.000,3531.000,3558.000,3592.000,3617.000,3659.000,3703.000,3758.000,3806.103,3853.486,3869.747,3889.332,3903.925,3932.515,3964.680,3989.364,4015.341,4050.316,4085.017,4111.728,4131.450,4141.456,4157.706,4184.302,4205.212,4235.136,4296.166,4338.057,4387.283,4427.429,4471.503,4521.709,4566.028,4605.445,4647.723,4687.726,4726.411,4775.508,4933.692,4982.796,5018.935,5053.572,5087.713,5119.598,5163.555,5207.203,5247.018,5281.203,5310.934,5346.620,5377.500
Mississippi,1981.000,1998.000,2006.000,1994.000,2004.000,2031.000,2050.000,2061.000,2072.000,2086.000,2127.000,2168.000,2176.000,2184.000,2210.000,2280.000,2167.000,2090.000,2064.000,2107.000,2076.000,2085.000,2176.000,2163.000,2152.000,2105.000,2064.000,2060.000,2086.000,2088.000,2086.000,2138.000,2182.000,2206.000,2243.000,2244.000,2241.000,2246.000,2245.000,2228.000,2219.000,2220.000,2216.994,2265.432,2307.117,2349.546,2378.268,2399.449,2429.756,2459.201,2487.816,2507.069,2525.342,2539.036,2556.777,2567.717,2578.051,2588.102,2593.597,2588.545,2580.352,2574.269,2577.426,2591.230,2610.193,2635.574,2663.450,2690.788,2709.925,2731.826,2751.335,2768.619,2848.353,2852.994,2858.681,2868.312,2889.010,2905.943,2904.978,2928.350,2947.806,2958.774,2970.615,2979.147,2984.599
Missouri,3601.000,3622.000,3646.000,3711.000,3746.000,3773.000,3784.000,3798.000,3801.000,3794.000,3781.000,3783.000,3786.000,3811.000,3829.000,3705.000,3560.000,3516.000,3746.000,3845.000,3844.000,3882.000,3964.000,4015.000,3972.000,4020.000,4066.000,4134.000,4163.000,4189.000,4186.000,4258.000,4326.000,4349.000,4357.000,4392.000,4442.000,4467.000,4523.000,4539.000,4568.000,4640.000,4677.623,4725.764,4758.780,4782.645,4795.930,4808.308,4839.029,4863.173,4889.399,4912.430,4921.966,4932.064,4929.451,4943.733,4975.278,5000.268,5023.068,5056.696,5081.736,5095.830,5126.370,5157.770,5193.686,5237.757,5281.206,5324.610,5367.888,5407.113,5437.562,5468.338,5607.285,5641.142,5674.825,5709.403,5747.741,5790.300,5842.704,5887.612,5923.916,5961.088,5996.089,6011.182,6026.027
Montana,541.000,524.000,539.000,540.000,540.000,541.000,545.000,550.000,554.000,554.000,552.000,555.000,558.000,543.000,518.000,485.000,469.000,477.000,514.000,531.000,542.000,569.000,593.000,596.000,602.000,616.000,624.000,636.000,656.000,667.000,666.000,669.000,679.000,696.000,698.000,703.000,706.000,706.000,707.000,701.000,700.000,694.000,694.409,710.814,718.732,726.798,736.419,748.208,757.317,769.953,782.317,787.305,788.752,795.328,803.986,814.031,820.905,822.320,813.739,805.063,800.202,799.636,799.824,807.837,822.436,839.876,854.923,868.522,876.656,878.706,879.533,882.779,903.773,906.961,911.667,919.630,930.009,940.102,952.692,964.706,976.415,983.982,990.730,997.518,1004.168
Nebraska,1371.000,1375.000,1380.000,1384.000,1386.000,1385.000,1382.000,1375.000,1358.000,1339.000,1326.000,1318.000,1316.000,1272.000,1239.000,1241.000,1216.000,1211.000,1256.000,1265.000,1265.000,1302.000,1327.000,1316.000,1311.000,1318.000,1340.000,1374.000,1397.000,1394.000,1383.000,1397.000,1417.000,1446.000,1464.000,1476.000,1482.000,1471.000,1456.000,1457.000,1467.000,1474.000,1485.333,1504.604,1519.013,1529.567,1539.191,1543.117,1550.911,1556.842,1563.884,1567.344,1572.296,1578.515,1581.780,1584.293,1588.639,1584.664,1574.333,1566.547,1571.477,1574.864,1580.664,1590.805,1602.406,1612.149,1621.551,1635.142,1647.657,1656.042,1660.772,1666.028,1713.820,1719.836,1728.292,1738.643,1749.370,1761.497,1772.693,1783.440,1796.378,1812.683,1829.591,1840.914,1853.691
Nevada,89.000,90.000,92.000,94.000,96.000,96.000,98.000,100.000,101.000,103.000,105.000,107.000,113.000,120.000,137.000,151.000,153.000,149.000,143.000,149.000,156.000,157.000,162.000,168.000,181.000,195.000,213.000,237.000,250.000,260.000,269.000,279.000,291.000,315.000,352.000,397.000,426.000,444.000,446.000,449.000,464.000,480.000,488.738,520.018,546.789,568.991,596.822,619.972,646.975,678.333,719.436,765.367,810.215,847.655,881.537,901.977,924.922,951.030,980.613,1023.376,1075.022,1137.382,1218.629,1285.046,1330.694,1380.197,1456.388,1525.777,1596.476,1675.581,1743.772,1809.253,2018.741,2098.399,2173.791,2248.850,2346.222,2432.143,2522.658,2601.072,2653.630,2684.665,2702.483,2713.114,2744.670
New Hampshire,468.000,467.000,466.000,470.000,474.000,477.000,480.000,481.000,481.000,481.000,485.000,490.000,492.000,490.000,481.000,462.000,456.000,459.000,494.000,507.000,520.000,533.000,532.000,529.000,535.000,547.000,554.000,557.000,566.000,572.000,581.000,596.000,609.000,618.000,632.000,649.000,663.000,676.000,681.000,697.000,709.000,724.000,737.681,761.851,781.107,800.951,815.914,828.555,845.248,869.763,891.520,909.074,924.250,936.621,947.719,958.134,976.864,996.753,1025.053,1054.289,1082.577,1104.522,1111.831,1107.055,1112.766,1122.191,1133.054,1145.604,1160.768,1173.239,1185.823,1201.134,1239.882,1255.517,1269.089,1279.840,1290.121,1298.492,1308.389,1312.540,1315.906,1316.102,1316.807,1320.444,1324.677
New Jersey,3968.000,3989.000,4068.000,4120.000,4120.000,4107.000,4089.000,4085.000,4084.000,4088.000,4100.000,4129.000,4175.000,4254.000,4297.000,4226.000,4158.000,4108.000,4492.000,4618.000,4774.000,4889.000,4872.000,5006.000,5125.000,5229.000,5360.000,5502.000,5615.000,5737.000,5890.000,6015.000,6103.000,6265.000,6376.000,6531.000,6660.000,6767.000,6851.000,6928.000,7005.000,7095.000,7171.112,7281.107,7335.042,7333.083,7332.411,7337.765,7339.745,7337.169,7350.804,7366.512,7376.330,7407.472,7430.968,7467.785,7515.473,7565.528,7622.159,7670.742,7712.333,7726.089,7757.158,7784.269,7827.770,7874.891,7918.796,7965.523,8009.624,8054.178,8095.542,8143.412,8430.621,8492.671,8552.643,8601.402,8634.561,8651.974,8661.679,8677.885,8711.090,8755.602,8799.451,8828.552,8845.671
New Mexico,416.000,420.000,427.000,436.000,441.000,449.000,461.000,475.000,489.000,503.000,513.000,523.000,531.000,506.000,502.000,534.000,527.000,537.000,561.000,582.000,604.000,644.000,689.000,717.000,735.000,756.000,763.000,785.000,806.000,847.000,886.000,919.000,954.000,965.000,979.000,989.000,1006.000,1012.000,1007.000,1000.000,994.000,1011.000,1017.055,1053.737,1078.697,1105.529,1131.309,1159.944,1189.295,1215.720,1238.034,1284.722,1309.400,1332.748,1363.823,1394.361,1416.717,1438.361,1462.729,1478.520,1490.337,1503.901,1519.933,1547.115,1580.750,1614.937,1653.329,1682.417,1706.151,1722.939,1733.535,1739.844,1821.204,1831.690,1855.309,1877.574,1903.808,1932.274,1962.137,1990.070,2010.662,2036.802,2064.614,2080.707,2087.715
New York,11599.000,12171.000,12647.000,12848.000,13001.000,13126.000,13253.000,13375.000,13481.000,13511.000,13512.000,13523.000,13456.000,13267.000,13002.000,12807.000,12628.000,12495.000,13398.000,13982.000,14497.000,14892.000,14865.000,14890.000,15192.000,15527.000,15814.000,15966.000,16112.000,16374.000,16601.000,16685.000,16838.000,17061.000,17301.000,17461.000,17589.000,17734.000,17843.000,17935.000,18051.000,18105.000,18241.391,18357.982,18339.400,18177.063,18049.775,18003.485,17940.541,17812.602,17680.589,17583.838,17566.754,17567.734,17589.738,17686.905,17745.684,17791.672,17833.419,17868.848,17941.309,17983.086,18002.855,18029.532,18082.032,18140.894,18156.652,18150.928,18143.805,18143.184,18159.175,18196.601,19001.780,19082.838,19137.800,19175.939,19171.567,19132.610,19104.631,19132.335,19212.436,19307.066,19399.956,19499.921,19574.362
