Year,AdminISO,AdminName,Population,Cases,Incidence
1931,MA,MASSACHUSETTS,4248.000,16431,386.794
1931,MD,MARYLAND,1657.000,20959,1264.876
1931,ME,MAINE,807.000,3505,434.325
1931,MI,MICHIGAN,4798.000,6403,133.451
1931,MN,MINNESOTA,2614.000,3229,123.527
1931,MO,MISSOURI,3711.000,13723,369.793
1931,MS,MISSISSIPPI,1994.000,,
1931,MT,MONTANA,540.000,1538,284.815
1931,NC,NORTH CAROLINA,3184.000,15299,480.496
1931,ND,NORTH DAKOTA,680.000,966,142.059
1931,NE,NEBRASKA,1384.000,345,24.928
1931,NH,NEW HAMPSHIRE,470.000,1406,299.149
1931,NJ,NEW JERSEY,4120.000,20361,494.199
1931,NM,NEW MEXICO,436.000,1415,324.541
1931,NV,NEVADA,94.000,,
1931,NY,NEW YORK,12848.000,54376,423.225
1931,OH,OHIO,6694.000,19500,291.306
1931,OK,OKLAHOMA,2403.000,774,32.210
1931,OR,OREGON,966.000,2343,242.547
1931,PA,PENNSYLVANIA,9707.000,79748,821.551
1931,RI,RHODE ISLAND,681.000,4529,665.051
1931,SC,SOUTH CAROLINA,1753.000,3330,189.960
1931,SD,SOUTH DAKOTA,694.000,1474,212.392
1931,TN,TENNESSEE,2657.000,3581,134.776
1931,TX,TEXAS,5907.000,2336,39.546
1931,UT,UTAH,513.000,153,29.825
1931,VA,VIRGINIA,2445.000,7784,318.384
1931,VT,VERMONT,359.000,,
1931,WA,WASHINGTON,1581.000,3121,197.407
1931,WI,WISCONSIN,2990.000,15146,506.555
1931,WV,WEST VIRGINIA,1740.000,5070,291.379
1931,WY,WYOMING,229.000,139,60.699
1932,AK,ALASKA,,,
1932,AL,ALABAMA,2653.000,270,10.177
1932,AR,ARKANSAS,1836.000,99,5.392
1932,AZ,ARIZONA,426.000,86,20.188
1932,CA,CALIFORNIA,5894.000,12618,214.082
1932,CO,COLORADO,1066.000,2376,222.889
1932,CT,CONNECTICUT,1637.000,5701,348.259
1932,DC,DISTRICT OF COLUMBIA,513.000,273,53.216
1932,DE,DELAWARE,245.000,39,15.918
1932,FL,FLORIDA,1521.000,207,13.609
1932,GA,GEORGIA,2935.000,1009,34.378
1932,HI,HAWAII,,,
1932,IA,IOWA,2489.000,158,6.348
1932,ID,IDAHO,459.000,40,8.715
1932,IL,ILLINOIS,7736.000,16113,208.286
1932,IN,INDIANA,3281.000,2914,88.814
1932,KS,KANSAS,1883.000,6150,326.606
1932,KY,KENTUCKY,2676.000,1953,72.982
1932,LA,LOUISIANA,2155.000,1453,67.425
1932,MA,MASSACHUSETTS,4259.000,19727,463.184
1932,MD,MARYLAND,1678.000,1093,65.137
1932,ME,MAINE,815.000,8853,1086.258
1932,MI,MICHIGAN,4780.000,42116,881.088
1932,MN,MINNESOTA,2646.000,2516,95.087
1932,MO,MISSOURI,3746.000,1618,43.193
1932,MS,MISSISSIPPI,2004.000,,
1932,MT,MONTANA,540.000,5443,1007.963
1932,NC,NORTH CAROLINA,3227.000,13653,423.086
1932,ND,NORTH DAKOTA,676.000,2150,318.047
1932,NE,NEBRASKA,1386.000,438,31.602
1932,NH,NEW HAMPSHIRE,474.000,717,151.266
1932,NJ,NEW JERSEY,4120.000,15407,373.956
1932,NM,NEW MEXICO,441.000,1199,271.882
1932,NV,NEVADA,96.000,,
1932,NY,NEW YORK,13001.000,60464,465.072
1932,OH,OHIO,6717.000,36228,539.348
1932,OK,OKLAHOMA,2394.000,1034,43.191
1932,OR,OREGON,972.000,4998,514.198
1932,PA,PENNSYLVANIA,9764.000,45957,470.678
1932,RI,RHODE ISLAND,677.000,9970,1472.674
1932,SC,SOUTH CAROLINA,1748.000,3192,182.609
1932,SD,SOUTH DAKOTA,692.000,667,96.387
1932,TN,TENNESSEE,2711.000,1870,68.978
1932,TX,TEXAS,5961.000,4564,76.564
1932,UT,UTAH,517.000,72,13.926
1932,VA,VIRGINIA,2452.000,28102,1146.089
1932,VT,VERMONT,358.000,191,53.385
1932,WA,WASHINGTON,1584.000,10009,631.881
1932,WI,WISCONSIN,3021.000,28255,935.286
1932,WV,WEST VIRGINIA,1747.000,10476,599.657
1932,WY,WYOMING,230.000,557,242.174
1933,AK,ALASKA,,,
1933,AL,ALABAMA,2661.000,1735,65.201
1933,AR,ARKANSAS,1854.000,5438,293.312
1933,AZ,ARIZONA,426.000,1261,296.009
1933,CA,CALIFORNIA,5963.000,26551,445.262
1933,CO,COLORADO,1071.000,297,27.731
1933,CT,CONNECTICUT,1642.000,5430,330.694
1933,DC,DISTRICT OF COLUMBIA,529.000,533,100.756
1933,DE,DELAWARE,248.000,205,82.661
1933,FL,FLORIDA,1552.000,993,63.982
1933,GA,GEORGIA,2950.000,4628,156.881
